state,transaction_year,quater,transaction_places,transaction_count,transaction_amount
madhya-pradesh,2021,4,chhindwara district,6522234,11185696130
madhya-pradesh,2021,4,umaria district,1309452,2278425751
madhya-pradesh,2021,4,mandla district,1725231,3242362406
madhya-pradesh,2021,4,indore district,73486993,107685836352
madhya-pradesh,2021,4,shahdol district,3279007,5504205891
madhya-pradesh,2021,4,ratlam district,4743942,9709336936
madhya-pradesh,2021,4,panna district,1348289,2815048065
madhya-pradesh,2021,4,chhatarpur district,2997869,6048373564
madhya-pradesh,2021,1,morena district,1642617,4076150820
madhya-pradesh,2021,1,alirajpur district,228504,499989236
madhya-pradesh,2021,1,sehore district,3804912,6207673600
madhya-pradesh,2021,1,rajgarh district,2591177,5531194245
madhya-pradesh,2021,1,khargone district,2478158,5022742955
madhya-pradesh,2021,1,satna district,2437515,4816296175
madhya-pradesh,2021,1,narsinghpur district,1563580,3177530090
madhya-pradesh,2021,1,jabalpur district,6508756,11341470367
madhya-pradesh,2021,1,hoshangabad district,2149209,3776567780
madhya-pradesh,2021,1,vidisha district,2319909,4298632208
madhya-pradesh,2021,1,balaghat district,2315936,4600620055
madhya-pradesh,2021,1,singrauli district,2282715,4545863631
madhya-pradesh,2021,1,betul district,2398625,4370416166
madhya-pradesh,2021,1,sidhi district,1032630,2364548733
madhya-pradesh,2021,1,datia district,635398,1461101645
madhya-pradesh,2021,1,dewas district,3992803,6833124438
madhya-pradesh,2021,1,sheopur district,441474,999133018
madhya-pradesh,2021,1,neemuch district,1242613,2652786981
madhya-pradesh,2021,1,raisen district,2579640,4173866749
madhya-pradesh,2021,1,mandsaur district,1919705,4173482937
madhya-pradesh,2021,1,barwani district,1067563,2248538999
madhya-pradesh,2021,1,katni district,1402614,2685443831
madhya-pradesh,2021,1,dindori district,490349,1119999389
madhya-pradesh,2021,1,shivpuri district,1542033,3503136658
madhya-pradesh,2021,1,gwalior district,7162483,13365571399
madhya-pradesh,2021,1,anuppur district,1029032,1990314404
madhya-pradesh,2021,1,agar malwa district,811955,1905456871
madhya-pradesh,2021,1,ashoknagar district,744766,1569426631
madhya-pradesh,2021,1,sagar district,3149917,5653447301
madhya-pradesh,2021,1,niwari district,260101,590317182
madhya-pradesh,2021,1,rewa district,2905406,6260073492
madhya-pradesh,2021,1,shajapur district,1726969,3385896058
madhya-pradesh,2021,1,ujjain district,4926814,8661804508
madhya-pradesh,2021,1,bhind district,1375999,3080179035
madhya-pradesh,2021,1,tikamgarh district,709159,1447720949
madhya-pradesh,2021,1,seoni district,1598317,3496206162
madhya-pradesh,2021,1,harda district,783753,1460099482
madhya-pradesh,2021,1,burhanpur district,901398,1614553569
madhya-pradesh,2021,1,damoh district,823880,1759875819
madhya-pradesh,2021,1,bhopal district,67309234,101725720745
madhya-pradesh,2021,1,jhabua district,597586,1283708735
madhya-pradesh,2021,1,dhar district,4368739,7366487165
madhya-pradesh,2021,1,guna district,1882964,3799877430
madhya-pradesh,2021,1,east nimar district,1695991,3040530342
madhya-pradesh,2021,1,chhindwara district,3281453,6171721022
madhya-pradesh,2021,1,umaria district,634168,1277673278
madhya-pradesh,2021,1,mandla district,858851,1727915177
madhya-pradesh,2021,1,indore district,37457244,53867415617
madhya-pradesh,2021,1,shahdol district,1585789,3112033780
madhya-pradesh,2021,1,ratlam district,2401427,5101007536
madhya-pradesh,2021,1,panna district,633224,1480548117
madhya-pradesh,2021,1,chhatarpur district,1313444,2858061843
madhya-pradesh,2021,2,morena district,2232701,5471936992
madhya-pradesh,2021,2,alirajpur district,337155,789494451
madhya-pradesh,2021,2,sehore district,4199604,7779826903
madhya-pradesh,2021,2,rajgarh district,3307789,7622592229
madhya-pradesh,2021,2,khargone district,3055934,6344132532
madhya-pradesh,2021,2,satna district,3121411,6595997323
madhya-pradesh,2021,2,narsinghpur district,1855069,3989323922
madhya-pradesh,2021,2,jabalpur district,6808088,12879587251
madhya-pradesh,2021,2,hoshangabad district,2539274,5124085752
madhya-pradesh,2021,2,vidisha district,2818313,6172397703
madhya-pradesh,2021,2,balaghat district,2827665,5854873523
madhya-pradesh,2021,2,singrauli district,2696777,5447820052
madhya-pradesh,2021,2,betul district,2817683,5192964519
madhya-pradesh,2021,2,sidhi district,1411602,3442541641
madhya-pradesh,2021,2,datia district,827843,2030280649
madhya-pradesh,2021,2,dewas district,4430778,8482648817
madhya-pradesh,2021,2,sheopur district,584509,1455672322
madhya-pradesh,2021,2,neemuch district,1431573,2946323814
madhya-pradesh,2021,2,raisen district,2995052,5530806419
madhya-pradesh,2021,2,mandsaur district,2219684,4866467550
madhya-pradesh,2021,2,barwani district,1345781,2884332779
madhya-pradesh,2021,2,katni district,1723310,3464169343
madhya-pradesh,2021,2,dindori district,608674,1511466140
madhya-pradesh,2021,2,shivpuri district,1989814,4908158568
madhya-pradesh,2021,2,gwalior district,7475892,15466583871
madhya-pradesh,2021,2,anuppur district,1244262,2337702544
madhya-pradesh,2021,2,agar malwa district,973164,2382536115
madhya-pradesh,2021,2,ashoknagar district,1025526,2445354252
madhya-pradesh,2021,2,sagar district,3641764,7548955784
madhya-pradesh,2021,2,niwari district,334508,764025684
madhya-pradesh,2021,2,rewa district,3692722,8211449728
madhya-pradesh,2021,2,shajapur district,2078924,4515078777
madhya-pradesh,2021,2,ujjain district,4879699,9676724764
madhya-pradesh,2021,2,bhind district,1929431,4392948922
madhya-pradesh,2021,2,tikamgarh district,978223,2309862361
madhya-pradesh,2021,2,seoni district,1926324,4585663549
madhya-pradesh,2021,2,harda district,1022389,2426740999
madhya-pradesh,2021,2,burhanpur district,1145247,2161598324
madhya-pradesh,2021,2,damoh district,1088303,2419007346
madhya-pradesh,2021,2,bhopal district,74643630,127038866031
madhya-pradesh,2021,2,jhabua district,771669,1681131397
madhya-pradesh,2021,2,dhar district,5029916,9012726646
madhya-pradesh,2021,2,guna district,2290014,5355657187
madhya-pradesh,2021,2,east nimar district,2100816,3941324464
madhya-pradesh,2021,2,chhindwara district,3787673,7484666557
madhya-pradesh,2021,2,umaria district,824921,1625485207
madhya-pradesh,2021,2,mandla district,1048839,2209589287
madhya-pradesh,2021,2,indore district,34159162,59026805792
madhya-pradesh,2021,2,shahdol district,1858973,3815559117
madhya-pradesh,2021,2,ratlam district,2599381,5685659163
madhya-pradesh,2021,2,panna district,870375,2165150098
madhya-pradesh,2021,2,chhatarpur district,1706850,4026012851
madhya-pradesh,2023,1,morena district,10686191,20763211198
madhya-pradesh,2023,1,alirajpur district,1699280,3014271212
madhya-pradesh,2023,1,sehore district,16316080,23436920406
madhya-pradesh,2023,1,rajgarh district,14241438,22816765693
madhya-pradesh,2023,1,khargone district,14134805,23107387024
madhya-pradesh,2023,1,satna district,14659261,23248811742
madhya-pradesh,2023,1,narsinghpur district,7632517,12760355274
madhya-pradesh,2023,1,jabalpur district,25123516,37663871660
madhya-pradesh,2023,1,hoshangabad district,10868522,16701530435
madhya-pradesh,2023,1,vidisha district,10358005,15695513889
madhya-pradesh,2023,1,balaghat district,11797166,19573952680
madhya-pradesh,2023,1,singrauli district,12426060,17865093566
madhya-pradesh,2023,1,betul district,11215522,16520149408
madhya-pradesh,2023,1,sidhi district,6435775,10699562881
madhya-pradesh,2023,1,datia district,4011463,7336433329
madhya-pradesh,2023,1,dewas district,19792878,29287649682
madhya-pradesh,2023,1,sheopur district,2868709,5271059935
madhya-pradesh,2023,1,neemuch district,7470963,12686616322
madhya-pradesh,2023,1,raisen district,12596483,17234041147
madhya-pradesh,2023,1,mandsaur district,12214565,20429209086
madhya-pradesh,2023,1,barwani district,7241976,11665294275
madhya-pradesh,2023,1,katni district,7974722,12697466536
madhya-pradesh,2023,1,dindori district,2626882,4198821455
madhya-pradesh,2023,1,shivpuri district,9999695,16247149328
madhya-pradesh,2023,1,gwalior district,32530192,52982719835
madhya-pradesh,2023,1,anuppur district,4978578,6898317563
madhya-pradesh,2023,1,agar malwa district,5652257,8890197383
madhya-pradesh,2023,1,ashoknagar district,4636570,7056791855
madhya-pradesh,2023,1,sagar district,15749995,23447713210
madhya-pradesh,2023,1,niwari district,1908052,2838128662
madhya-pradesh,2023,1,rewa district,16354341,27952686901
madhya-pradesh,2023,1,shajapur district,9144868,14010310387
madhya-pradesh,2023,1,ujjain district,26942883,40817423529
madhya-pradesh,2023,1,bhind district,7701586,14167957162
madhya-pradesh,2023,1,tikamgarh district,5112355,6655789911
madhya-pradesh,2023,1,seoni district,9165024,15277605373
madhya-pradesh,2023,1,harda district,4221781,6865152580
madhya-pradesh,2023,1,burhanpur district,5500116,8033806219
madhya-pradesh,2023,1,damoh district,5189467,8647652668
madhya-pradesh,2023,1,bhopal district,90233129,100743031945
madhya-pradesh,2023,1,jhabua district,4267462,7361953378
madhya-pradesh,2023,1,dhar district,23103625,33382954474
madhya-pradesh,2023,1,guna district,10921889,15668230156
madhya-pradesh,2023,1,east nimar district,10196585,14043471330
madhya-pradesh,2023,1,chhindwara district,17392755,24958783288
madhya-pradesh,2023,1,umaria district,3458056,4964089653
madhya-pradesh,2023,1,mandla district,4528309,7487595655
madhya-pradesh,2023,1,indore district,125871728,151714773334
madhya-pradesh,2023,1,shahdol district,8460666,12243800481
madhya-pradesh,2023,1,ratlam district,13368185,22589719049
madhya-pradesh,2023,1,panna district,3996487,6811134093
madhya-pradesh,2023,1,chhatarpur district,9587555,14593671664
madhya-pradesh,2023,2,morena district,12746595,23090535110
madhya-pradesh,2023,2,alirajpur district,2044217,3410365854
madhya-pradesh,2023,2,sehore district,18815311,28128404111
madhya-pradesh,2023,2,rajgarh district,16220050,26258964576
madhya-pradesh,2023,2,khargone district,16316176,25590576015
madhya-pradesh,2023,2,satna district,17480872,26092732307
madhya-pradesh,2023,2,narsinghpur district,8759675,13912452183
madhya-pradesh,2023,2,jabalpur district,28848316,41668633973
madhya-pradesh,2023,2,hoshangabad district,12933700,20327799783
madhya-pradesh,2023,2,vidisha district,12032535,20267662231
madhya-pradesh,2023,2,balaghat district,13529037,20202541461
madhya-pradesh,2023,2,singrauli district,14469817,19848155468
madhya-pradesh,2023,2,betul district,13026175,18471881890
madhya-pradesh,2023,2,sidhi district,8014311,12772051930
madhya-pradesh,2023,2,datia district,4835555,8694596521
madhya-pradesh,2023,2,dewas district,22398163,33309353948
madhya-pradesh,2023,2,sheopur district,3376585,6096923395
madhya-pradesh,2023,2,neemuch district,8882314,14553031730
madhya-pradesh,2023,2,raisen district,14772187,21120817357
madhya-pradesh,2023,2,mandsaur district,14328054,23263341441
madhya-pradesh,2023,2,barwani district,8733872,12865387100
madhya-pradesh,2023,2,katni district,9309198,13841697027
madhya-pradesh,2023,2,dindori district,3150072,4476124554
madhya-pradesh,2023,2,shivpuri district,11945643,18804002020
madhya-pradesh,2023,2,gwalior district,37274900,57528982641
madhya-pradesh,2023,2,anuppur district,5812115,7274177404
madhya-pradesh,2023,2,agar malwa district,6556962,10211660013
madhya-pradesh,2023,2,ashoknagar district,5389942,8531243843
madhya-pradesh,2023,2,sagar district,18388702,28198548692
madhya-pradesh,2023,2,niwari district,2213184,3194991117
madhya-pradesh,2023,2,rewa district,20065798,32186209412
madhya-pradesh,2023,2,shajapur district,10590494,16674703111
